Verb,Description,GUI,WARNING
PaintBucketPrefs, Open Preferences for the Paint Bucket tool,TRUE,WARNING: ignoring verb PaintBucketPrefs - GUI required for this verb.
EraserPrefs, Open Preferences for the Eraser tool,TRUE,WARNING: ignoring verb EraserPrefs - GUI required for this verb.
LPEToolPrefs, Open Preferences for the LPETool tool,TRUE,WARNING: ignoring verb LPEToolPrefs - GUI required for this verb.
ZoomIn, Zoom in (+),TRUE,WARNING: ignoring verb ZoomIn - GUI required for this verb.
ZoomOut, Zoom out (-),TRUE,WARNING: ignoring verb ZoomOut - GUI required for this verb.
ZoomNext, Next zoom (from the history of zooms) (Shift+`),TRUE,WARNING: ignoring verb ZoomNext - GUI required for this verb.
ZoomPrev, Previous zoom (from the history of zooms) (`),TRUE,WARNING: ignoring verb ZoomPrev - GUI required for this verb.
Zoom1,0: Zoom to 1:1 (1),FALSE,verbs_action: Invalid verb: Zoom1
Zoom1,2: Zoom to 1:2 (2),FALSE,verbs_action: Invalid verb: Zoom1
Zoom2,1: Zoom to 2:1,FALSE,verbs_action: Invalid verb: Zoom2
ZoomPage, Zoom to fit page in window (5),TRUE,WARNING: ignoring verb ZoomPage - GUI required for this verb.
ZoomPageWidth, Zoom to fit page width in window (6),TRUE,WARNING: ignoring verb ZoomPageWidth - GUI required for this verb.
ZoomDrawing, Zoom to fit drawing in window (4),TRUE,WARNING: ignoring verb ZoomDrawing - GUI required for this verb.
ZoomSelection, Zoom to fit selection in window (3),TRUE,WARNING: ignoring verb ZoomSelection - GUI required for this verb.
ZoomCenterPage, Center page in window (Ctrl+4),TRUE,WARNING: ignoring verb ZoomCenterPage - GUI required for this verb.
RotateClockwise, Rotate canvas clockwise,TRUE,WARNING: ignoring verb RotateClockwise - GUI required for this verb.
RotateCounterClockwise, Rotate canvas counter-clockwise,TRUE,WARNING: ignoring verb RotateCounterClockwise - GUI required for this verb.
RotateZero, Reset canvas rotation to zero,TRUE,WARNING: ignoring verb RotateZero - GUI required for this verb.
FlipHorizontal, Flip canvas horizontally,TRUE,WARNING: ignoring verb FlipHorizontal - GUI required for this verb.
FlipVertical, Flip canvas vertically,TRUE,WARNING: ignoring verb FlipVertical - GUI required for this verb.
FlipNone, Undo any flip,TRUE,WARNING: ignoring verb FlipNone - GUI required for this verb.
ToggleRulers, Show or hide the canvas rulers (Ctrl+R),TRUE,WARNING: ignoring verb ToggleRulers - GUI required for this verb.
ToggleScrollbars, Show or hide the canvas scrollbars (Ctrl+B),TRUE,WARNING: ignoring verb ToggleScrollbars - GUI required for this verb.
ToggleGrid, Show or hide the page grid (#),TRUE,WARNING: ignoring verb ToggleGrid - GUI required for this verb.
ToggleGuides, Show or hide guides (drag from a ruler to create a guide) (|),TRUE,WARNING: ignoring verb ToggleGuides - GUI required for this verb.
ToggleRotationLock, Lock canvas rotation,TRUE,WARNING: ignoring verb ToggleRotationLock - GUI required for this verb.
ToggleSnapGlobal, Enable snapping (%),TRUE,WARNING: ignoring verb ToggleSnapGlobal - GUI required for this verb.
ToggleCommandsToolbar, Show or hide the Commands bar (under the menu),TRUE,WARNING: ignoring verb ToggleCommandsToolbar - GUI required for this verb.
ToggleSnapToolbar, Show or hide the snapping controls,TRUE,WARNING: ignoring verb ToggleSnapToolbar - GUI required for this verb.
ToggleToolToolbar, Show or hide the Tool Controls bar,TRUE,WARNING: ignoring verb ToggleToolToolbar - GUI required for this verb.
ToggleToolbox, Show or hide the main toolbox (on the left),TRUE,WARNING: ignoring verb ToggleToolbox - GUI required for this verb.
TogglePalette, Show or hide the color palette (Shift+Alt+P),TRUE,WARNING: ignoring verb TogglePalette - GUI required for this verb.
ToggleStatusbar, Show or hide the statusbar (at the bottom of the window),TRUE,WARNING: ignoring verb ToggleStatusbar - GUI required for this verb.
FullScreen, Stretch this document window to full screen (F11),TRUE,WARNING: ignoring verb FullScreen - GUI required for this verb.
FullScreenFocus, Stretch this document window to full screen (Ctrl+F11),TRUE,WARNING: ignoring verb FullScreenFocus - GUI required for this verb.
FocusToggle, Remove excess toolbars to focus on drawing (Shift+F11),TRUE,WARNING: ignoring verb FocusToggle - GUI required for this verb.
ViewNew, Open a new window with the same document,TRUE,WARNING: ignoring verb ViewNew - GUI required for this verb.
ViewModeNormal, Switch to normal display mode,TRUE,WARNING: ignoring verb ViewModeNormal - GUI required for this verb.
ViewModeNoFilters, Switch to normal display without filters,TRUE,WARNING: ignoring verb ViewModeNoFilters - GUI required for this verb.
ViewModeOutline, Switch to outline (wireframe) display mode,TRUE,WARNING: ignoring verb ViewModeOutline - GUI required for this verb.
ViewModeVisibleHairlines, Make sure hairlines are always drawn thick enough to see,TRUE,WARNING: ignoring verb ViewModeVisibleHairlines - GUI required for this verb.
ViewModeToggle, Toggle between normal and outline display modes (Ctrl+5),TRUE,WARNING: ignoring verb ViewModeToggle - GUI required for this verb.
ViewColorModeNormal, Switch to normal color display mode,TRUE,WARNING: ignoring verb ViewColorModeNormal - GUI required for this verb.
ViewColorModeGrayscale, Switch to grayscale display mode,TRUE,WARNING: ignoring verb ViewColorModeGrayscale - GUI required for this verb.
ViewColorModeToggle, Toggle between normal and grayscale color display modes (Alt+5),TRUE,WARNING: ignoring verb ViewColorModeToggle - GUI required for this verb.
ViewSplitModeToggle, Split canvas in 2 to show outline (Ctrl+6),TRUE,WARNING: ignoring verb ViewSplitModeToggle - GUI required for this verb.
ViewXRayToggle, XRay around cursor (Alt+6),TRUE,WARNING: ignoring verb ViewXRayToggle - GUI required for this verb.
ViewCmsToggle, Toggle color-managed display for this document window,TRUE,WARNING: ignoring verb ViewCmsToggle - GUI required for this verb.
ViewIconPreview, Open a window to preview objects at different icon resolutions,TRUE,WARNING: ignoring verb ViewIconPreview - GUI required for this verb.
DialogPrototype, Prototype Dialog,TRUE,WARNING: ignoring verb DialogPrototype - GUI required for this verb.
DialogPreferences, Edit global Inkscape preferences (Shift+Ctrl+P),TRUE,WARNING: ignoring verb DialogPreferences - GUI required for this verb.
DialogDocumentProperties, Edit properties of this document (to be saved with the document) (Shift+Ctrl+D),TRUE,WARNING: ignoring verb DialogDocumentProperties - GUI required for this verb.
DialogMetadata, Edit document metadata (to be saved with the document),TRUE,WARNING: ignoring verb DialogMetadata - GUI required for this verb.
